time,baseline wattage reading
0.0,106.82493999995059
0.1,107.37974000034156
0.2,106.94789000026415
0.3,106.60641999989748
0.4,107.4483799998043
0.5,106.1370699999854
0.6,107.7551100000157
0.7,107.42064000007231
0.8,109.33967999994056
0.9,106.95554000021657
1.0,107.60434999990976
1.1,106.98424999996787
1.2,106.21479000028921
1.3,106.85788999997312
1.4,106.82686000011162
1.5,106.88667000005952
1.6,106.90366999990074
1.7,106.03532999992603
1.8,107.37617000002646
1.9,107.43295000018551
2.0,106.78179999993881
2.1,107.1918599999859
2.2,106.6278999999864
2.3,107.75468999991426
2.4,106.47309999978403
2.5,106.9117000000202
2.6,107.34260000023059
2.7,109.9385299999849
2.8,106.98015999986092
2.9,106.4760200001765
3.0,106.75922000029823
3.1,108.74652000004426
3.2,107.13885000010487
3.3,107.60577999992529
3.4,106.8159699999378
3.5,107.42806999998865
3.6,106.72588000003248
3.7,106.95514000026742
3.8,106.25324000028195
3.9,106.32646999997087
4.0,106.58831999992253
4.1,105.99627000023611
4.2,106.57611000037286
4.3,107.2816700002877
4.4,107.52275999961421
4.5,107.09735000017099
4.6,108.75636999976123
4.7,107.04059000016423
4.8,106.80959000016097
4.9,106.4755000000936
